"";"Sepal.Length";"Sepal.Width";"Petal.Length";"Petal.Width";"Species";"Collector"
"1";4,8;3,1;1,6;0,2;"setosa";"Seymour Butz"
"2";7,7;2,8;6,7;2;"virginica";"Seymour Butz"
"3";6,7;3;5;1,7;"versicolor";"Seymour Butz"
"4";6,3;2,7;4,9;1,8;"virginica";"Seymour Butz"
"5";5,1;3,5;1,4;0,3;"setosa";"Seymour Butz"
"6";5,9;3;5,1;1,8;"virginica";"Seymour Butz"
"7";6,9;3,1;4,9;1,5;"versicolor";"Seymour Butz"
"8";5;3,4;1,6;0,4;"setosa";"Seymour Butz"
"9";5,6;3;4,1;1,3;"versicolor";"Seymour Butz"
"10";6,4;2,9;4,3;1,3;"versicolor";"Seymour Butz"
"11";5,6;3;4,1;1,3;"versicolor";"Seymour Butz"
"12";6,4;2,8;5,6;2,2;"virginica";"Seymour Butz"
"13";5,2;4,1;1,5;0,1;"setosa";"Seymour Butz"
"14";5,2;3,5;1,5;0,2;"setosa";"Seymour Butz"
"15";5,7;2,8;4,1;1,3;"versicolor";"Seymour Butz"
"16";5;3,3;1,4;0,2;"setosa";"Seymour Butz"
"17";5,1;3,4;1,5;0,2;"setosa";"Seymour Butz"
"18";4,4;3;1,3;0,2;"setosa";"Seymour Butz"
"19";5;3;1,6;0,2;"setosa";"Seymour Butz"
"20";5,9;3;4,2;1,5;"versicolor";"Seymour Butz"
"21";5,8;4;1,2;0,2;"setosa";"Seymour Butz"
"22";4,8;3;1,4;0,1;"setosa";"Seymour Butz"
"23";6,4;2,7;5,3;1,9;"virginica";"Seymour Butz"
"24";7,7;2,6;6,9;2,3;"virginica";"Seymour Butz"
"25";5;2;3,5;1;"versicolor";"Seymour Butz"
"26";5,1;3,3;1,7;0,5;"setosa";"Seymour Butz"
"27";5,8;2,8;5,1;2,4;"virginica";"Seymour Butz"
"28";5,8;2,7;5,1;1,9;"virginica";"Seymour Butz"
"29";5,5;2,4;3,8;1,1;"versicolor";"Seymour Butz"
"30";4,7;3,2;1,6;0,2;"setosa";"Seymour Butz"
"31";5,5;2,3;4;1,3;"versicolor";"Seymour Butz"
"32";5,8;2,6;4;1,2;"versicolor";"Seymour Butz"
"33";6,3;2,3;4,4;1,3;"versicolor";"Seymour Butz"
"34";6,7;3;5;1,7;"versicolor";"Seymour Butz"
"35";6,1;2,8;4,7;1,2;"versicolor";"Seymour Butz"
"36";6,4;2,9;4,3;1,3;"versicolor";"Seymour Butz"
"37";4,9;3,1;1,5;0,1;"setosa";"Seymour Butz"
"38";5,5;2,4;3,8;1,1;"versicolor";"Seymour Butz"
"39";5,4;3,9;1,7;0,4;"setosa";"Seymour Butz"
"40";5,7;2,8;4,1;1,3;"versicolor";"Seymour Butz"
"41";6,5;3;5,2;2;"virginica";"Seymour Butz"
"42";6;2,2;4;1;"versicolor";"Seymour Butz"
"43";5,4;3,7;1,5;0,2;"setosa";"Seymour Butz"
"44";6,2;2,9;4,3;1,3;"versicolor";"Seymour Butz"
"45";6,9;3,1;5,4;2,1;"virginica";"Seymour Butz"
"46";5,6;2,5;3,9;1,1;"versicolor";"Seymour Butz"
"47";5,9;3,2;4,8;1,8;"versicolor";"Seymour Butz"
"48";5,7;2,8;4,1;1,3;"versicolor";"Seymour Butz"
"49";6,3;3,3;6;2,5;"virginica";"Seymour Butz"
"50";4,9;3,1;1,5;0,2;"setosa";"Seymour Butz"
"51";5,7;3;4,2;1,2;"versicolor";"Seymour Butz"
"52";6,6;3;4,4;1,4;"versicolor";"Seymour Butz"
"53";4,9;3;1,4;0,2;"setosa";"Seymour Butz"
"54";5;2,3;3,3;1;"versicolor";"Seymour Butz"
"55";5,9;3;5,1;1,8;"virginica";"Seymour Butz"
"56";5;3,6;1,4;0,2;"setosa";"Seymour Butz"
"57";5,4;3,7;1,5;0,2;"setosa";"Seymour Butz"
"58";6,7;3,3;5,7;2,5;"virginica";"Seymour Butz"
"59";6,8;2,8;4,8;1,4;"versicolor";"Seymour Butz"
"60";5,7;3;4,2;1,2;"versicolor";"Seymour Butz"
"61";6,1;2,6;5,6;1,4;"virginica";"Seymour Butz"
"62";5,8;2,7;5,1;1,9;"virginica";"Seymour Butz"
"63";6,5;3;5,5;1,8;"virginica";"Seymour Butz"
"64";6,4;3,2;5,3;2,3;"virginica";"Seymour Butz"
"65";4,6;3,1;1,5;0,2;"setosa";"Seymour Butz"
"66";5,2;3,4;1,4;0,2;"setosa";"Seymour Butz"
"67";5,2;2,7;3,9;1,4;"versicolor";"Seymour Butz"
"68";6,4;3,1;5,5;1,8;"virginica";"Seymour Butz"
"69";7,4;2,8;6,1;1,9;"virginica";"Seymour Butz"
"70";5;3,4;1,6;0,4;"setosa";"Seymour Butz"
"71";6,3;3,3;6;2,5;"virginica";"Seymour Butz"
"72";4,6;3,4;1,4;0,3;"setosa";"Seymour Butz"
"73";6,1;2,6;5,6;1,4;"virginica";"Seymour Butz"
"74";5,7;4,4;1,5;0,4;"setosa";"Seymour Butz"
"75";5,1;3,7;1,5;0,4;"setosa";"Seymour Butz"
"76";6;2,2;4;1;"versicolor";"Seymour Butz"
"77";5,2;3,5;1,5;0,2;"setosa";"Seymour Butz"
"78";6,3;3,4;5,6;2,4;"virginica";"Seymour Butz"
"79";4,6;3,1;1,5;0,2;"setosa";"Seymour Butz"
"80";4,9;3,6;1,4;0,1;"setosa";"Seymour Butz"
"81";6,1;2,9;4,7;1,4;"versicolor";"Seymour Butz"
"82";5,1;3,5;1,4;0,2;"setosa";"Seymour Butz"
