"X","Y","Z","Accession","Box","Name","Sub_type","Sub_species","liveSub","Height_cm","Snow_m","Collector","Location","Longitude","Latitude","xy_error","Elevation","z_error","Date","Remark","Attachments"
"11.06020870","47.44576650","1752.03","1","1","MER","herbs","Heidelbeere","1","20","999","Jonas","Laengenfelder","11.0602087","47.4457665","6.000","1752.03","2.613","2023-06-01T12:46:30","",""
"11.06022570","47.44576840","1754.22","2","1","MER","ground litter","","0","0","999","Jonas","Laengenfelder","11.0602257","47.4457684","4.532","1754.22","2.544","2023-06-01T12:56:09","",""
"11.06018320","47.44533640","1635.66","3","1","MER","herbs","bewimmperte alpenrose","1","25","999","Jonas","Laengenfelder","11.0601832","47.4453364","4.028","1635.66","7.751","2023-06-01T13:40:52","",""
"11.06028220","47.44526470","1635.66","4","1","MER","herbs","bewimmperte alpenrose","1","20","999","Jonas","Laengenfelder","11.0602822","47.4452647","4.000","1635.66","9.947","2023-06-01T13:52:01","",""
"11.06019650","47.44511440","1641.57","5","1","DID","ground litter","Heidelbeere","0","0","999","Jonas","Laengenfelder","11.0601965","47.4451144","6.577","1641.57","13.587","2023-06-01T13:57:47","",""
"11.06017800","47.44510270","1641.38","6","2","DID","branches","Kiefer ","1","50","999","Jonas","Laengenfelder","11.060178","47.4451027","3.982","1641.38","12.058","2023-06-01T14:01:13","",""
"11.06019940","47.44508890","1633.44","7","1","DID","leaf","Kiefer ","1","30","999","Jonas","Laengenfelder","11.0601994","47.4450889","8.320","1633.44","10.964","2023-06-01T14:05:40","",""
"11.06020680","47.44509600","1636.23","8","1","DID","leaf","bewimmperte alpenrose","1","20","999","Jonas","Laengenfelder","11.0602068","47.445096","4.000","1636.23","12.902","2023-06-01T14:08:31","",""
"11.06017170","47.44508390","1637.78","9","1","DID","leaf","Kiefer ","1","80","999","Jonas","Laengenfelder","11.0601717","47.4450839","4.863","1637.78","12.271","2023-06-01T14:14:12","",""
"11.06020520","47.44499910","1637.93","10","1","DID ?","mosses","","1","5","999","Jonas","Laengenfelder","11.0602052","47.4449991","3.864","1637.93","11.624","2023-06-01T14:22:26","","./attachments/myxo_20230601_142312.jpg,./attachments/myxo_20230601_142339.jpg"
"11.05999420","47.44475830","1778.05","11","1","DID","ground litter","Gras (Borstgras?)","0","0","999","Jonas","Laengenfelder","11.0599942","47.4447583","7.978","1778.05","2.459","2023-06-01T14:40:06","",""
"11.05998940","47.44475460","1778.53","12","1","DID","ground litter","borstengras","0","0","999","Jonas","Laengenfelder","11.0599894","47.4447546","5.666","1778.53","2.423","2023-06-01T14:39:05","",""
"11.08107070","47.45754020","1431.54","13","1","DID","ground litter","Gras ","0","0","999","Jonas ","Osterfelder","11.0810707","47.4575402","12.921","1431.54","18.398","2023-06-02T16:54:01","",""
"11.05532956","47.43986896","","14","1","DID","herbs","Heidelbeer","1","5","999","Jonas","Trail zum Osterfelderkopf vor Hochalm","11.05532956","47.43986896","","","","2023-06-02T17:05:02","",""
"11.05549550","47.43986470","1902.06","15","1","DID","herbs","Weide","1","20","4","Jonas","Trail zum Osterfelderkopf vor Hochalm","11.0554955","47.4398647","5.142","1902.06","3.205","2023-06-02T17:03:30","",""
"11.05536700","47.44011930","1895.97","16","1","DID ","ground litter","Gras ","0","0","1","Jonas","Trail zum Osterfelderkopf vor Hochalm","11.055367","47.4401193","5.173","1895.97","2.573","2023-06-02T17:23:25","",""
"11.10549780","47.46288630","1210.44","17","1","like myxo","wood","","0","50","999","morten","Trail zum Osterfelderkopf vor Hochalm","11.1054978","47.4628863","4.000","1210.44","3.753","2023-06-04T14:22:50","richtige location: feuchtwiese unterhalb Bayernhaus",""
"11.10414190","47.46226300","1231.39","18","","LYC","wood","","0","30","999","morten","Trail zum Osterfelderkopf vor Hochalm","11.1041419","47.462263","6.191","1231.39","4.365","2023-06-04T14:22:33","Wald neben der feuchtwiese (Fichte Tannen laubmischwald)",""
"11.05634880","47.44034500","1845.72","19","1","MER","herbs","","1","20","999","Jonas","Trail zum Osterfelderkopf vor Hochalm","11.0563488","47.440345","6.000","1845.72","4.105","2023-06-05T11:07:14","richtige location: Zickzack weg von hochalm zu alpspitz Gaststätte ",""
"11.05628040","47.44025940","1845.50","20","1","DID","ground litter","Gras","0","0","5","Jonas","Trail zum Osterfelderkopf vor Hochalm","11.0562804","47.4402594","6.040","1845.5","2.892","2023-06-05T11:04:45","richtige location: Zickzack weg von hochalm zu alpspitz Gaststätte ",""
"11.05634700","47.44034850","1847.07","21","1","MER","aerial litter","Gras","0","45","8","Jonas","Trail zum Osterfelderkopf vor Hochalm","11.056347","47.4403485","6.475","1847.07","2.822","2023-06-05T11:05:55","richtige location: Zickzack weg von hochalm zu alpspitz Gaststätte ",""
"11.05634000","47.44028680","1848.79","22","1","DID","herbs","","0","15","4","Jonas","Trail zum Osterfelderkopf vor Hochalm","11.05634","47.4402868","6.000","1848.79","3.326","2023-06-05T11:08:01","richtige location: Zickzack weg von hochalm zu alpspitz Gaststätte ",""
"11.05623420","47.44031280","1850.89","23","4","LEP PEY","ground litter","","0","0","999","Jonas","Trail zum Osterfelderkopf vor Hochalm","11.0562342","47.4403128","6.000","1850.89","2.486","2023-06-05T11:23:51","richtige location: Zickzack weg von hochalm zu alpspitz Gaststätte ",""
"11.05623410","47.44033540","1849.52","24","1","LAM","ground litter","","0","0","999","Jonas","Trail zum Osterfelderkopf vor Hochalm","11.0562341","47.4403354","6.000","1849.52","2.671","2023-06-05T11:25:30","richtige location: Zickzack weg von hochalm zu alpspitz Gaststätte ",""
"11.05624840","47.44031450","1849.93","25","1","LAM","ground litter","","0","0","999","Jonas","Trail zum Osterfelderkopf vor Hochalm","11.0562484","47.4403145","6.000","1849.93","2.547","2023-06-05T11:26:25","richtige location: Zickzack weg von hochalm zu alpspitz Gaststätte ",""
